"Drzava","Leto","Odstotek nerazvitih otrok","Odstotek podhranjenih otrok","Smrtnost.dojenckov","Smrtnost.do.5.leta.starosti","Spol","Cepljenost"
"Armenia",2010,20.8,5.3,9.5,18,"Z",91.7
"Armenia",2010,20.8,5.3,9.5,18,"M",91.3
"Burkina Faso",2010,35.1,26.2,30.4,113.5,"Z",80.6
"Burkina Faso",2010,35.1,26.2,30.4,113.5,"M",82.1
"Cameroon",2011,32.6,15.1,27.5,101,"Z",54.8
"Cameroon",2011,32.6,15.1,27.5,101,"M",52.3
"Democratic Republic of the Congo",2010,43.5,24.2,32.9,116.1,"Z",48.8
"Democratic Republic of the Congo",2010,43.5,24.2,32.9,116.1,"M",50.8
"Guinea",2012,31.3,18.7,33.2,104,"Z",33.6
"Guinea",2012,31.3,18.7,33.2,104,"M",39.3
"Jordan",2012,7.8,3,11.7,19.6,"Z",93.5
"Jordan",2012,7.8,3,11.7,19.6,"M",92.7
"Kyrgyzstan",2012,17.8,3.7,13.7,25.7,"Z",77.5
"Kyrgyzstan",2012,17.8,3.7,13.7,25.7,"M",76.7
"Nigeria",2013,36.4,31,35.8,116.6,"Z",25.2
"Nigeria",2013,36.4,31,35.8,116.6,"M",26
"Peru",2012,18.4,3.5,9.4,19.1,"Z",72.6
"Peru",2012,18.4,3.5,9.4,19.1,"M",75.6
"Sierra Leone",2013,37.9,18.1,37,133.4,"Z",68.4
"Sierra Leone",2013,37.9,18.1,37,133.4,"M",68.4
"The former Yugoslav republic of Macedonia",2011,4.9,1.3,5.6,8.6,"Z",93.2
"The former Yugoslav republic of Macedonia",2011,4.9,1.3,5.6,8.6,"M",91.9
