"Drzava","Leto","Odstotek nerazvitih otrok"
"Algeria","2012-2013",11.7
"Armenia","2010",20.8
"Azerbaijan","2013",18
"Bangladesh","2014",36.1
"Bangladesh","2013",38.7
"Bangladesh","2012-2013",42
"Bangladesh","2011",41.4
"Barbados","2012",7.7
"Belize","2011",19.3
"Benin","2014",34
"Bhutan","2010",33.6
"Bosnia and Herzegovina","2011-2012",8.9
"Burkina Faso","2010",35.1
"Burundi","2010-2011",57.5
"Côte d'Ivoire","2011-2012",29.6
"Cambodia","2014",32.4
"Cambodia","2010-2011",40.9
"Cameroon","2011",32.6
"Central African Republic","2010-2011",40.7
"Chad","2010",38.7
"Chile","2014",1.8
"Chile","2013",1.8
"China","2010",9.4
"Comoros","2012",32.1
"Congo","2011-2012",25
"Democratic People's Republic of Korea","2012",27.9
"Democratic Republic of the Congo","2013-2014",42.6
"Democratic Republic of the Congo","2010",43.5
"Djibouti","2012",33.5
"Dominican Republic","2013",7.1
"Ecuador","2012-2013",25.2
"Egypt","2014",22.3
"Equatorial Guinea","2010",26.2
"Eritrea","2010",50.3
"Ethiopia","2014",40.4
"Ethiopia","2010-2011",44.2
"Gabon","2012",17.5
"Gambia","2010",23.4
"Ghana","2014",18.8
"Ghana","2011",22.7
"Guinea","2012",31.3
"Guinea","2011-2012",35.8
"Guinea-Bissau","2014",27.6
"Guinea-Bissau","2010",32.2
"Guyana","2014",12
"Haiti","2012",21.9
"Honduras","2011-2012",22.7
"Indonesia","2013",36.4
"Indonesia","2010",39.2
"Iraq","2011",22.6
"Jamaica","2012",5.7
"Jamaica","2010",4.8
"Japan","2010",7.1
"Jordan","2012",7.8
"Kazakhstan","2010-2011",13.1
"Kenya","2014",26
"Kuwait","2014",5.8
"Kuwait","2013",4.8
"Kuwait","2012",4.3
"Kuwait","2011",4
"Kuwait","2010",4.1
"Kyrgyzstan","2014",12.9
"Kyrgyzstan","2012",17.8
"Lao People's Democratic Republic","2011-2012",43.8
"Lesotho","2014",33.2
"Liberia","2013",32.1
"Malawi","2013-2014",42.4
"Malawi","2010",47.8
"Mauritania","2012",22
"Mauritania","2011",29.7
"Mexico","2011-2012",13.6
"Mongolia","2013",10.8
"Mongolia","2010",15.6
"Montenegro","2013",9.4
"Morocco","2010-2011",14.9
"Mozambique","2011",43.1
"Namibia","2013",23.1
"Nepal","2011",40.5
"Niger","2012",43
"Nigeria","2014",32.9
"Nigeria","2013",36.4
"Nigeria","2011",36
"Pakistan","2012-2013",45
"Pakistan","2011",43
"Papua New Guinea","2009-2011",49.5
"Paraguay","2011-2012",10.9
"Peru","2012",18.4
"Peru","2011",19.6
"Peru","2010",23.3
"Philippines","2011",33.6
"Republic of Moldova","2012",6.4
"Rwanda","2010-2011",44.3
"Saint Lucia","2012",2.5
"Senegal","2014",19.4
"Senegal","2012-2013",19.2
"Senegal","2012",15.5
"Senegal","2010-2011",28.7
"Serbia","2014",6
"Serbia","2010",6.6
"Seychelles","2012",7.9
"Sierra Leone","2013",37.9
"Sierra Leone","2010",44.9
"Sierra Leone","2010",32.6
"South Sudan","2010",31.1
"Sri Lanka","2012",14.7
"Sudan","2014",38.2
"Suriname","2010",8.8
"Swaziland","2010",31
"Tajikistan","2012",26.8
"Thailand","2012",16.3
"The former Yugoslav republic of Macedonia","2011",4.9
"The former Yugoslav republic of Macedonia","2010-2011",10.5
"Togo","2013-2014",27.5
"Togo","2010",29.8
"Tonga","2012",8.1
"Tunisia","2011-2012",10.1
"Turkey","2013-2014",9.5
"Uganda","2011",33.7
"United Republic of Tanzania","2010-2011",34.8
"United States of America","2011-2012",2.1
"Uruguay","2011",11.7
"Vanuatu","2013",28.5
"Viet Nam","2013",19.4
"Viet Nam","2010-2011",23.3
"Yemen","2011",46.6
"Zambia","2013-2014",40
"Zimbabwe","2014",27.6
"Zimbabwe","2010-2011",32.3
