"Drzava","Smrtnost.do.5.leta.starosti","Smrtnost.dojenckov","Cepljenost.Z","Cepljenost.M"
"Afghanistan",94,67,NA,NA
"Albania",1,1,NA,NA
"Algeria",24,21,NA,NA
"Angola",169,104,NA,NA
"Argentina",10,8,NA,NA
"Armenia",1,1,91.7,91.3
"Australia",1,1,NA,NA
"Azerbaijan",7,7,NA,NA
"Bangladesh",119,97,84.7,87.3
"Benin",37,24,47.9,47.8
"Bolivia (Plurinational State of)",9,8,NA,NA
"Botswana",2,2,NA,NA
"Brazil",52,47,NA,NA
"Bulgaria",1,1,NA,NA
"Burkina Faso",60,42,80.6,82.1
"Burundi",37,25,82.5,83.6
"Côte d'Ivoire",75,55,48.1,53.1
"Cambodia",10,9,80.5,77.1
"Cameroon",71,47,54.8,52.3
"Canada",2,2,NA,NA
"Central African Republic",21,15,16.8,17.8
"Chad",83,51,NA,NA
"Chile",2,2,NA,NA
"China",182,156,NA,NA
"Colombia",12,10,66.1,70.1
"Comoros",2,1,67.5,57.2
"Congo",7,5,41.8,47.4
"Costa Rica",1,1,91.9,88.2
"Cuba",1,0,80.4,77.4
"Democratic People's Republic of Korea",9,7,NA,NA
"Democratic Republic of the Congo",305,233,45.5,45.1
"Democratic Republic of the Congo",305,233,48.8,50.8
"Djibouti",1,1,NA,NA
"Dominican Republic",7,6,NA,NA
"Ecuador",7,6,NA,NA
"Egypt",66,57,NA,NA
"El Salvador",2,2,NA,NA
"Equatorial Guinea",3,2,NA,NA
"Eritrea",8,6,NA,NA
"Ethiopia",184,130,26.1,23.1
"France",3,3,NA,NA
"Gabon",3,2,32.3,30.3
"Gambia",6,4,NA,NA
"Georgia",1,1,NA,NA
"Germany",3,2,NA,NA
"Ghana",54,38,86.1,83.5
"Guatemala",13,11,NA,NA
"Guinea",42,28,33.6,39.3
"Guinea-Bissau",6,4,NA,NA
"Guyana",1,1,NA,NA
"Haiti",18,13,44.3,47.2
"Honduras",3,3,84.5,85.5
"Hungary",1,0,NA,NA
"India",1201,946,NA,NA
"Indonesia",147,125,65.2,66.2
"Iran (Islamic Republic of)",21,18,NA,NA
"Iraq",39,32,62.2,63.8
"Israel",1,1,NA,NA
"Italy",2,1,NA,NA
"Jamaica",1,1,NA,NA
"Japan",3,2,NA,NA
"Jordan",4,3,93.5,92.7
"Kazakhstan",6,5,83.4,85.1
"Kenya",74,54,NA,NA
"Kuwait",1,1,NA,NA
"Kyrgyzstan",4,3,77.5,76.7
"Lao People's Democratic Republic",12,9,45.4,42
"Lebanon",1,1,NA,NA
"Lesotho",6,4,NA,NA
"Liberia",11,8,56.9,52.9
"Libya",2,1,NA,NA
"Madagascar",40,29,NA,NA
"Malawi",40,27,81.1,81.4
"Malaysia",4,3,NA,NA
"Mali",83,54,39.4,39
"Mauritania",11,9,NA,NA
"Mexico",31,27,NA,NA
"Mongolia",2,1,79.8,77
"Morocco",20,17,NA,NA
"Mozambique",82,60,65.5,63.8
"Myanmar",46,36,NA,NA
"Namibia",3,2,NA,NA
"Nepal",20,16,85.7,88.4
"Nepal",20,16,66.8,66
"Netherlands",1,1,NA,NA
"Nicaragua",3,2,NA,NA
"Niger",88,54,53,51.9
"Nigeria",750,484,25.2,26
"Nigeria",750,484,33,33.5
"Oman",1,1,NA,NA
"Pakistan",432,351,51.6,56.2
"Panama",1,1,NA,NA
"Papua New Guinea",12,9,NA,NA
"Paraguay",3,2,NA,NA
"Peru",10,8,72.6,75.6
"Peru",10,8,71,72.3
"Peru",10,8,59.4,59.9
"Philippines",66,52,76.5,76.6
"Poland",2,2,NA,NA
"Republic of Korea",2,1,NA,NA
"Republic of Moldova",1,1,NA,NA
"Romania",2,2,NA,NA
"Russian Federation",19,16,NA,NA
"Rwanda",14,10,90.4,90.2
"Saudi Arabia",9,8,NA,NA
"Senegal",27,24,71.1,69.6
"Senegal",27,24,62.8,62.9
"Serbia",1,1,NA,NA
"Sierra Leone",26,19,68.4,68.4
"Sierra Leone",26,19,51.3,57.4
"Solomon Islands",0,0,NA,NA
"Somalia",61,38,NA,NA
"South Africa",42,34,NA,NA
"South Sudan",39,26,NA,NA
"Spain",2,1,NA,NA
"Sri Lanka",3,3,NA,NA
"Sudan",89,61,NA,NA
"Swaziland",2,2,86.7,85.3
"Syrian Arab Republic",6,5,NA,NA
"Tajikistan",12,10,88.4,89.3
"Thailand",9,8,NA,NA
"Timor-Leste",3,2,NA,NA
"Togo",20,13,51.8,49.1
"Trinidad and Tobago",0,0,NA,NA
"Tunisia",3,3,NA,NA
"Turkey",19,16,NA,NA
"Turkmenistan",6,5,NA,NA
"Uganda",85,60,52.6,52.5
"Ukraine",4,3,NA,NA
"United Arab Emirates",1,1,NA,NA
"United Kingdom of Great Britain and Northern Ireland",3,3,NA,NA
"United Republic of Tanzania",98,72,74.5,75.8
"United States of America",25,21,NA,NA
"Uzbekistan",26,23,NA,NA
"Venezuela (Bolivarian Republic of)",9,8,NA,NA
"Viet Nam",34,27,64.5,57
"Yemen",34,28,NA,NA
"Zambia",39,27,NA,NA
"Zimbabwe",38,25,67.2,64.6
"Bosnia and Herzegovina",NA,NA,83.1,87.1
"The former Yugoslav republic of Macedonia",NA,NA,93.2,91.9
